dataset,action,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact
shapes,identity,0.46155494,0.049968738,0.78592074,0.6742292,68.32098,7.4388776,0.0
shapes,O_square2,0.2270498,0.014917871,0.9084346,0.8466132,0.8981296,3.004676,0.108216435
shapes,O_square3,0.25045118,0.031767827,0.77261066,0.6768548,0.73780894,1.4311957,0.1733467
shapes,O_square4,0.28627664,0.047596928,0.6445827,0.540511,0.7281229,1.1302605,0.2231129
shapes,O_square5,0.33122814,0.06088517,0.53127795,0.4333185,0.78122914,1.1012024,0.22344689
shapes,C_square3,0.36301342,0.08659197,0.7259349,0.6100631,34.464596,0.47929192,0.0
shapes,OC_square3,0.1968311,0.02841651,0.78985584,0.70200706,0.48964596,1.0731463,0.35270542
shapes,CO_square3,0.23334864,0.03869993,0.8194815,0.7269858,1.8076153,1.014696,0.22044088
shapes,C_square5,0.4824551,0.2166659,0.5824106,0.45891756,12.186039,1.5691383,0.003006012
shapes,OC_square5,0.32142395,0.059973955,0.5367542,0.43987364,0.76619905,1.0981964,0.25985304
shapes,CO_square5,0.30525503,0.16020605,0.6448233,0.5324756,0.8209753,1.0714763,0.19104877
shapes,C_diamond1,0.32347178,0.057784107,0.77572227,0.6645228,56.455242,0.34635937,0.0
shapes,OC_diamond1,0.15456975,0.016735598,0.8935603,0.8261211,0.68203074,0.9468938,0.3997996
shapes,CO_diamond1,0.15776429,0.018087698,0.9029906,0.836903,1.0494322,0.75384104,0.3183033
shapes,C_diamond2,0.4044295,0.10962642,0.6888636,0.56535476,29.076153,0.77287906,0.0
shapes,OC_diamond2,0.25300464,0.04546308,0.6672151,0.5582314,0.5547762,1.0958583,0.32398129
shapes,CO_diamond2,0.24083836,0.060376093,0.7620006,0.6489318,1.1386106,1.02505,0.22912492
shapes,C_horizontal3,0.33480823,0.058001734,0.77452534,0.6645035,54.79058,0.4258517,0.0
shapes,OC_horizontal3,0.20759912,0.014749274,0.9128864,0.850019,1.7358049,0.99499,0.21609886
shapes,CO_horizontal3,0.2815965,0.03198858,0.84798014,0.76111925,9.260521,0.8283233,0.1002004
shapes,C_vertical3,0.33109355,0.05768481,0.7754726,0.66572523,54.89546,0.3954576,0.0
shapes,OC_vertical3,0.20895097,0.014826808,0.91368616,0.8510682,1.8306613,1.005678,0.22110888
shapes,CO_vertical3,0.28053218,0.031762183,0.84933716,0.76304674,9.4084835,0.8206413,0.09786239
shapes,O_diamond1,0.24045727,0.018975755,0.8827163,0.80868256,0.8036072,3.9245157,0.09919839
shapes,O_diamond2,0.29590943,0.046744023,0.6593818,0.5488861,0.59285235,1.756513,0.16800267
shapes,O_horizontal3,0.27245206,0.016103968,0.9068663,0.8397713,1.8954576,3.009352,0.066466264
shapes,O_vertical3,0.27035314,0.016219644,0.90735567,0.84029675,1.9669338,2.998998,0.07782231
shapes,area_connected3,0.16904564,0.014903372,0.9229449,0.87000436,5.3273215,0.38343352,0.25718102
shapes,area_connected8,0.04499584,0.0065939236,0.96710265,0.9380146,0.12992652,0.3496994,0.67969275
