dataset,method,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact
fashion,Classical best,balanced04,0.147751294840275,0.02071811237101,0.9273725249210001,0.885058125258,1.636,2.143,0.268
fashion,Classical best,balanced10,0.17081357023715,0.03958928581133,0.893339535472,0.824446775864,1.587,2.172,0.239
fashion,Classical best,clean,0.1340889427883,0.0102015306621,0.950467940371,0.925175755014,1.664,2.134,0.273
fashion,Classical best,pepper04,0.143425196264948,0.01628443888131,0.934879869084,0.899390960608,1.651,2.149,0.268
fashion,Classical best,pepper10,0.15885186063743,0.02445918374748,0.9099075574,0.8605153305390001,1.686,2.161,0.254
fashion,Classical best,salt04,0.14245135124226102,0.01768239806786,0.938754780644,0.901199259967,1.634,2.152,0.264
fashion,Classical best,salt10,0.15518962309318,0.030054847043790002,0.918530739639,0.8630076662276,1.611,2.145,0.249
fashion,Classical best,shift20,0.2646867982726,0.09633035703439999,0.7876361791936,0.6762981820685,1.706,2.168,0.112
fashion,Conditional mean mask,balanced04,0.123006989486461,0.018039285711146002,0.9495414265824,0.9101723518468,1.1812,1.8152000000000001,0.2848
fashion,Conditional mean mask,balanced10,0.16487899754309002,0.04098443877596,0.8951495360031999,0.8250134874522,1.3128,2.0078,0.253
fashion,Conditional mean mask,clean,0.09239378635017999,0.005003316323446,0.9804551866782,0.9655405725026,1.218,1.6504,0.332
fashion,Conditional mean mask,pepper04,0.104219590693308,0.011483673463296,0.9658569749326,0.9387919499524,1.1678,1.6832,0.308
fashion,Conditional mean mask,pepper10,0.12895970741281,0.020505102043644002,0.9442695484256,0.9012085977026,1.1872,1.7792000000000001,0.26739999999999997
fashion,Conditional mean mask,salt04,0.11403797534288719,0.0143025510156,0.9598318304906001,0.9275816485635999,1.1887999999999999,1.797,0.29419999999999996
fashion,Conditional mean mask,salt10,0.147221647457446,0.030577295921768,0.9191302799844,0.8625828304386001,1.2968,2.011,0.2738
fashion,Conditional mean mask,shift20,0.3737236704578,0.12869591835445998,0.7431664346943001,0.6215972019202,6.0056,2.3294,0.0544
fashion,Conditional sampled,balanced04,0.12343607404691018,0.018418243962661056,0.9490787030974,0.909301939896,1.178851447380398,1.8262420239002126,0.2839831778956895
fashion,Conditional sampled,balanced10,0.16590111660634355,0.041168374726471696,0.894565603292,0.8242496431577601,1.3252788184769146,2.0229533980889602,0.2508442415133329
fashion,Conditional sampled,clean,0.09327377012948365,0.005620447452135823,0.9796236082254,0.9639586256452,1.2187093989401503,1.6570483929564133,0.3310882514939231
fashion,Conditional sampled,pepper04,0.10492498013118894,0.011830657896690518,0.9653750036934,0.9379049134562,1.1706378986855575,1.6946814763350317,0.3076639897143199
fashion,Conditional sampled,pepper10,0.12987767585557589,0.02061948137549421,0.9441193497219614,0.900935765701109,1.1881214125847466,1.7898739380715663,0.26375521488462833
fashion,Conditional sampled,salt04,0.11491395711265034,0.014882994089476166,0.959078698017,0.926170008822,1.1917856289475612,1.8108961499331186,0.29476820504946366
fashion,Conditional sampled,salt10,0.148598434222644,0.030859168408368,0.9184659227764,0.8615710840878,1.3050687439904616,2.0214038518979196,0.2703555302722169
fashion,Conditional sampled,shift20,0.37347319632478004,0.12857013756566,0.7433635534831978,0.6218115606213891,5.9975383437666565,2.3366669919974012,0.05612255002921561
fashion,Conditional selector,balanced04,0.123019162833263,0.018066836858504,0.949505281755,0.9101060569428,1.1807999999999998,1.81,0.283
fashion,Conditional selector,balanced10,0.16495791526063,0.04088698985418,0.8952555672086,0.8252068137358,1.3146,2.0016,0.2532
fashion,Conditional selector,clean,0.09204469186158,0.0049464285977860005,0.980584656525,0.9657798779925999,1.2124000000000001,1.6485999999999998,0.3322
fashion,Conditional selector,pepper04,0.10385715467917299,0.011399745000859999,0.9660021844090001,0.9390680283399999,1.1622000000000001,1.6774,0.3088
fashion,Conditional selector,pepper10,0.129421602515806,0.020466836867858,0.9443195741,0.9013010915388,1.1864000000000001,1.7786,0.26439999999999997
fashion,Conditional selector,salt04,0.113688881444722,0.0142721939775,0.9599019089594,0.9277120163392,1.1872,1.793,0.29619999999999996
fashion,Conditional selector,salt10,0.147093672270685,0.03053647968181,0.9191684610894,0.862655414757,1.295,2.007,0.2738
fashion,Conditional selector,shift20,0.37379222201424,0.12872602009152,0.743126772827,0.6215423692548,6.011,2.329,0.054200000000000005
fashion,Exact gate sampled,balanced04,0.1265404825734158,0.020081945739489123,0.9441811918615245,0.9036202414434104,1.2047403793525469,1.8062370472527034,0.27627165703163425
fashion,Exact gate sampled,balanced10,0.173029975085766,0.042894103659048395,0.888582750083012,0.8169331151490886,1.4830340445009043,1.9366177621199474,0.24058170306635993
fashion,Exact gate sampled,clean,0.10043180373922451,0.007648886480285319,0.9764563518102,0.9586094595072,1.1998490562798625,1.7590243051564969,0.3111372642192628
fashion,Exact gate sampled,pepper04,0.10922466264555122,0.013143880328625257,0.9638648344504,0.9354375582666,1.1712983022398877,1.764739065085137,0.29672373386748896
fashion,Exact gate sampled,pepper10,0.13025026009596066,0.021139098004348895,0.9432834138265141,0.8999959069546557,1.1837831153843092,1.7695902900475966,0.2616568884653463
fashion,Exact gate sampled,salt04,0.1173307477838369,0.015656575938130957,0.955584911893188,0.9222335310245341,1.2089250420419073,1.8013121102283018,0.2920727559651777
fashion,Exact gate sampled,salt10,0.1541804450612676,0.029017137888584,0.9175188236863734,0.8628574333679508,1.4937462367485441,1.926536591610615,0.2508214388312129
