shape,fit_seed,representation,kind,max_predicted_cost_residual,max_output_law_residual,max_expected_observable_residual,max_sample_decode_disagreement,max_map_decode_disagreement
12x12,2026,dup_0_1,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_0_2,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_0_4,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_0_8,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_0_16,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_0_32,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_0_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_2_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_7_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_11_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,dup_30_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,perm_443,permutation,0.0,0.0,0.0,0.0,0.0
12x12,2026,perm_991,permutation,0.0,0.0,0.0,0.0,0.0
12x12,2026,perm_1777,permutation,0.0,0.0,0.0,0.0,0.0
12x12,2026,perm_2718,permutation,0.0,0.0,0.0,0.0,0.0
12x12,2026,permdup_7_64_443,permuted_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,permdup_7_64_991,permuted_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,multidup_1,multi_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,multidup_8,multi_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,multidup_64,multi_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,2026,weighted_global,weighted_global,0.0,0.0,0.0,0.0,0.0
12x12,2026,classref_cap2,class_refinement,0.0,0.0,0.0,0.0,0.0
12x12,2026,classref_cap4,class_refinement,0.0,0.0,0.0,0.0,0.0
12x12,2026,classref_cap8,class_refinement,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_1,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_2,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_4,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_8,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_16,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_32,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_0_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_2_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_7_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_11_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,dup_30_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,perm_443,permutation,0.0,0.0,0.0,0.0,0.0
12x12,314159,perm_991,permutation,0.0,0.0,0.0,0.0,0.0
12x12,314159,perm_1777,permutation,0.0,0.0,0.0,0.0,0.0
12x12,314159,perm_2718,permutation,0.0,0.0,0.0,0.0,0.0
12x12,314159,permdup_7_64_443,permuted_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,permdup_7_64_991,permuted_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,multidup_1,multi_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,multidup_8,multi_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,multidup_64,multi_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,314159,weighted_global,weighted_global,0.0,0.0,0.0,0.0,0.0
12x12,314159,classref_cap2,class_refinement,0.0,0.0,0.0,0.0,0.0
12x12,314159,classref_cap4,class_refinement,0.0,0.0,0.0,0.0,0.0
12x12,314159,classref_cap8,class_refinement,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_1,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_2,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_4,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_8,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_16,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_32,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_0_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_2_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_7_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_11_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,dup_30_64,single_duplicate,0.0,0.0,0.0,0.0,0.0
12x12,8675309,perm_443,permutation,0.0,0.0,0.0,0.0,0.0
12x12,8675309,perm_991,permutation,0.0,0.0,0.0,0.0,0.0
12x12,8675309,perm_1777,permutation,0.0,0.0,0.0,0.0,0.0
