method,metric,n_images,mean,ci95_low,ci95_high,bootstrap_resamples,cluster
Input,loss,3669,0.448234161,0.44754316,0.448969788,2000,clean test mask
Input,dice,3669,0.903729727,0.901702132,0.90572821,2000,clean test mask
Input,iou,3669,0.83355638,0.830854024,0.83618688,2000,clean test mask
Input,topology_exact,3669,0,0,0,2000,clean test mask
Validation best,loss,3669,0.0163924112,0.0151980567,0.0175412066,2000,clean test mask
Validation best,dice,3669,0.995020478,0.994891777,0.99511431,2000,clean test mask
Validation best,iou,3669,0.990163636,0.989990988,0.990319682,2000,clean test mask
Validation best,topology_exact,3669,0.873716726,0.863041701,0.884119197,2000,clean test mask
Action-coordinate selector,loss,3669,0.0161947741,0.0151287499,0.017288892,2000,clean test mask
Action-coordinate selector,dice,3669,0.995139216,0.995072019,0.995212677,2000,clean test mask
Action-coordinate selector,iou,3669,0.990354593,0.990218278,0.990480679,2000,clean test mask
Action-coordinate selector,topology_exact,3669,0.87689652,0.867219497,0.885891024,2000,clean test mask
Direct-output selector,loss,3669,0.0200574877,0.0187711225,0.0213925505,2000,clean test mask
Direct-output selector,dice,3669,0.992874588,0.992450387,0.993167004,2000,clean test mask
Direct-output selector,iou,3669,0.986269672,0.985866,0.986628457,2000,clean test mask
Direct-output selector,topology_exact,3669,0.849314073,0.837884982,0.860380667,2000,clean test mask
Direct-output sampled,loss,3669,0.0207294773,0.0194463553,0.0220549414,2000,clean test mask
Direct-output sampled,dice,3669,0.991582704,0.990942683,0.992093612,2000,clean test mask
Direct-output sampled,iou,3669,0.984103991,0.983458968,0.984651291,2000,clean test mask
Direct-output sampled,topology_exact,3669,0.849027165,0.837632583,0.860411298,2000,clean test mask
Oracle (diagnostic),loss,3669,0.00957664248,0.00885797234,0.0102824166,2000,clean test mask
Oracle (diagnostic),dice,3669,0.995082114,0.994937949,0.995226209,2000,clean test mask
Oracle (diagnostic),iou,3669,0.990323083,0.990056405,0.990586209,2000,clean test mask
Oracle (diagnostic),topology_exact,3669,0.92668302,0.919686336,0.933498001,2000,clean test mask
