method,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact
Action-coordinate selector,balanced04,0.0140279663,0.00186965872,0.996429348,0.992889816,0.0109021532,0.158844372,0.886345053
Action-coordinate selector,balanced10,0.021718392,0.00532470437,0.989809123,0.979865536,0.0199509403,0.196511311,0.854292723
Action-coordinate selector,pepper04,0.0117447968,0.00105821886,0.99798696,0.99598425,0.00708639956,0.150504225,0.896974652
Action-coordinate selector,pepper10,0.017995621,0.00246881135,0.995341587,0.990734597,0.0108476424,0.178795312,0.870700463
Action-coordinate selector,salt04,0.0134987709,0.00127036635,0.997555515,0.995126277,0.00817661488,0.159880076,0.887271736
Action-coordinate selector,salt10,0.0181830976,0.0032602056,0.993712765,0.98752708,0.014663396,0.183755792,0.865794494
Direct-output sampled,balanced04,0.0214862012,0.00495949718,0.989946032,0.981084174,0.0236410841,0.207070933,0.849562749
Direct-output sampled,balanced10,0.0220192171,0.00536423907,0.989137434,0.979057488,0.0169077591,0.204772956,0.852882038
Direct-output sampled,pepper04,0.0203884641,0.00350374391,0.992783422,0.98606607,0.0274967134,0.214693769,0.845106206
Direct-output sampled,pepper10,0.0203021009,0.00337786924,0.992388218,0.98588896,0.0297375202,0.207829232,0.847448525
Direct-output sampled,salt04,0.0199406444,0.00310812216,0.992963529,0.987330309,0.0254994453,0.207255252,0.849052906
Direct-output sampled,salt10,0.0202402361,0.00370479839,0.99227759,0.985196947,0.0239754262,0.205506809,0.850110567
Direct-output selector,balanced04,0.020357849,0.0041426452,0.992182607,0.984971778,0.0235486509,0.2070864,0.849659308
Direct-output selector,balanced10,0.0220389907,0.00535110802,0.989098809,0.979076561,0.0168983374,0.204687926,0.852820932
Direct-output selector,pepper04,0.019657503,0.00292134985,0.994302505,0.988776454,0.0263832107,0.211719815,0.845080403
Direct-output selector,pepper10,0.0194903797,0.00304995454,0.994024493,0.988179464,0.0263832107,0.208013083,0.847478877
Direct-output selector,salt04,0.0189352135,0.00250762166,0.994830833,0.990254594,0.0245298446,0.207031889,0.849877351
Direct-output selector,salt10,0.0198649903,0.00333550059,0.992808281,0.986359181,0.0234396293,0.205124012,0.850967566
Input,balanced04,0.440322104,0.0399955277,0.918374843,0.853823912,369.906241,175.759608,0
Input,balanced10,0.493296683,0.100010104,0.816627066,0.699433994,702.170074,383.729081,0
Input,pepper04,0.418841526,0.0193018317,0.961593161,0.928065742,104.823113,175.286999,0
Input,pepper10,0.435400668,0.037911682,0.929500231,0.870090828,105.182339,380.060234,0
Input,salt04,0.432316309,0.0307152395,0.933571707,0.880436236,370.517035,46.9803761,0
Input,salt10,0.469227675,0.0720459716,0.862711353,0.769487569,701.157264,48.9269556,0
Oracle (diagnostic),balanced04,0.00695772117,0.00262956887,0.994886544,0.989966647,0.00272553829,0.0624148269,0.950395203
Oracle (diagnostic),balanced10,0.0174165098,0.0055330224,0.98895834,0.978361463,0.0119923685,0.198691742,0.888798038
Oracle (diagnostic),pepper04,0.00393419892,0.00143065807,0.997202158,0.994492964,0.00436086127,0.0422458436,0.968383756
Oracle (diagnostic),pepper10,0.00900468889,0.00202344269,0.99567613,0.991510897,0.00844916871,0.0872172254,0.924502589
Oracle (diagnostic),salt04,0.00771430563,0.00117093011,0.997737318,0.995490555,0.00490596893,0.0899427637,0.93022622
Oracle (diagnostic),salt10,0.0124324305,0.00197292109,0.996032192,0.992115969,0.00599618425,0.139002453,0.897792314
Validation best,balanced04,0.0148162142,0.00188701606,0.99638718,0.992806591,0.00953938403,0.17579722,0.8789861
Validation best,balanced10,0.0217006913,0.00531348548,0.989574454,0.97966564,0.0212591987,0.189424911,0.856636686
Validation best,pepper04,0.013576414,0.00107555956,0.997945713,0.995902446,0.00763150722,0.172799128,0.8825293
Validation best,pepper10,0.0150124269,0.00246958656,0.99533523,0.990722253,0.0106295993,0.170891251,0.88116653
Validation best,salt04,0.0148840346,0.00128850888,0.997511919,0.995040061,0.00817661488,0.180158081,0.877078223
Validation best,salt10,0.0183646859,0.00344756307,0.993368372,0.986844824,0.0141727991,0.184518942,0.865903516
