analysis_split,source_split,image_id,class_id,species,breed_id,stable_key
train,trainval,Abyssinian_145,1,1,1,7ab383973d1033ed02b3cad213bc283625388117afcfa528565db384ec9bd1e9
train,trainval,Abyssinian_146,1,1,1,7e8ada18b576b2f6dfd03e5e40cf8b02354886df4d0e324ed1fc9081416541a8
train,trainval,Abyssinian_105,1,1,1,7f2ca57f6386589a06b9180e7d9312ce8c13a9b64a81ee5221660ab62429d956
train,trainval,Abyssinian_123,1,1,1,81519f880f4e44e480b351bfc8802bd8a5c43dd47a45bdd40cdcf6d3285e95a6
train,trainval,Abyssinian_172,1,1,1,84068d73de1dd37410aae5b9078c5107bf6ba18cd54534d4c335933169e13c94
train,trainval,Abyssinian_128,1,1,1,8a629207443b9c058f2903ab1216f2128cc3fed6eb7b49b945eaad8218e8f42d
train,trainval,Abyssinian_176,1,1,1,8bb26ff85a8aca98c43c09e161f115ad259a78738c0358dd553fe0c34dcef306
train,trainval,Abyssinian_136,1,1,1,8cc09fd2530098d0eeb1a163d875b0037d4167b42cdb4731af2d6bc392f4b337
train,trainval,Abyssinian_125,1,1,1,8ef576d924e8984c5503cadc596dfa689a5cc59255116fb43328fe672750d77b
train,trainval,Abyssinian_19,1,1,1,930f7cbfedbe8f575383adc2648ad3d85b5970c3f7b4dcf1353ef31980646aaf
train,trainval,Abyssinian_12,1,1,1,95dff06c08bb15e06257c2fc7cfbe9a0ef40ff1aeb41bc45797bd41dbe4e72db
train,trainval,Abyssinian_138,1,1,1,99d18a6640084eccaf4ecb45f9d396b1cee157d651c6f88e97927fc9189b773c
train,trainval,Abyssinian_158,1,1,1,99e2468ea0dabb41b3db0d3cf29853aee1b700d3180822c3c56eb01b60b23d05
train,trainval,Abyssinian_16,1,1,1,9a0f30bfe1c0349e9d0a13980843996232d9f631d216cbd8768efb3b04019063
train,trainval,Abyssinian_195,1,1,1,9d159a3af1dc6e80bc70304e43d36db8eb9607145cc1715511a0e74f97e36311
train,trainval,Abyssinian_130,1,1,1,a8e81a803313b6d3211b7abb7a7f3da8eb08467a1d58916c2cd7ce7081aee98b
train,trainval,Abyssinian_13,1,1,1,a9d46f51237b8075c2b070b3e0c6d4f24505935ea82f8d87a912f37347063256
train,trainval,Abyssinian_134,1,1,1,b6138778b141ccd95839400dd28beaca966a6df8c38b44442464c6e10ebe0d8b
train,trainval,Abyssinian_179,1,1,1,b88e12823aad7be7c6d393bdca88e1bc53b4bb8181e513a13c39be401008a187
train,trainval,Abyssinian_116,1,1,1,b965314016ee0a81fd0a28fe13cd35d3af077e32399f037384a5d277a4a717eb
train,trainval,Abyssinian_159,1,1,1,b9a8029d3f562c1b0d3bbbdf2f3be0bb2b1d97b3f9db7437f5fdccc73f0afbe0
train,trainval,Abyssinian_151,1,1,1,ba6c13ed4d056f123fcfe37e9238bdd7d724eb7df10b6e31c70114c6722b0a06
train,trainval,Abyssinian_170,1,1,1,bac37d1812cad81ae5ec3f610e5941e60b54dbc71bd39180daaf69cfa1d918b5
train,trainval,Abyssinian_149,1,1,1,be3ca083310d5a7446585d1f622a220af7b7448195627de5eaeec52a18b021cb
train,trainval,Abyssinian_139,1,1,1,bfc1b5f9491c340e62df72a621f272d3bd6d7d095ae9a2bd74d6be18bc5f8670
train,trainval,Abyssinian_181,1,1,1,c02da12189d4c8d1225440cd39606ffd93fbc94461c837710cd9b3b553080269
train,trainval,Abyssinian_192,1,1,1,c5d6ef3c53379668970793d58ea4da004842c63a0e6a619a99bc2a67198e9267
train,trainval,Abyssinian_150,1,1,1,cb07b7812f17fad06f1aaf84507af90a8c06ad76f1af63f5dd90c2e1f5f9a4f7
train,trainval,Abyssinian_133,1,1,1,cba7f5663ca74bd53fee27f1bf686775279972b081aec55c1010fa0721d95c59
train,trainval,Abyssinian_160,1,1,1,cbb06ca6743cd01e775512e1c2291748eccdfd31ea0833b3dd57fbd2507b924b
train,trainval,Abyssinian_1,1,1,1,cc3580c1434a6449835b82c89b511f2292e2646b6af369a5eab190ba043940f1
train,trainval,Abyssinian_180,1,1,1,d1655fc8f6b055bda089da117e7da4a26ef75df4849d1bd47ec2d4e2df348a6c
train,trainval,Abyssinian_110,1,1,1,d22cf9775b78ba491ae362365da30368e7be63cf57eaa330901192b42f567f3d
train,trainval,Abyssinian_124,1,1,1,d616327bfca053d89d6eda47818390bbb9e801b60dc5375921bf2e76d078dbe0
train,trainval,Abyssinian_117,1,1,1,d9c913964858a241b63444c722ddbdfc08d24c1094a833eaddf8a35a6d7bde31
train,trainval,Abyssinian_109,1,1,1,dc914e0dd786ea6310059ab900b2a6ae4e4489f40b2e133ddef4e409decd6c55
train,trainval,Abyssinian_106,1,1,1,dd1d4e9b91d695f1292c94b0413de33d98664059633fc760c294b87fcc87c4e4
train,trainval,Abyssinian_10,1,1,1,df58cc8ea001f0b56fb7c23666a6a531a92dc5cb8c16e93bafe4adbfa2e8ae6c
train,trainval,Abyssinian_148,1,1,1,e491002989673405dc7bd46aadc5d1309f715a024bec217b2dadd72ed3f5f9b2
train,trainval,Abyssinian_143,1,1,1,ee5c4306f27a90602eb396b22ea447d7629bc36923f09bc425b23dc05eefee4f
train,trainval,Abyssinian_11,1,1,1,eec4c8e3e6940e6be79c119154a53378303cd1b0f7965dad56aec02d4d8dfa10
train,trainval,Abyssinian_129,1,1,1,f17a270cb4079ee56efdf022fbbb633deae3078aaf15483d6ab54b650f25a47f
train,trainval,Abyssinian_113,1,1,1,f18b58ed31d8c7a69f2f6a1434fea9e37935b7b63830d8d0244587057b3b79f7
train,trainval,Abyssinian_164,1,1,1,f51e1e700a5e4d685b6584c7ece44c3ad059fa8f2a69b72abd5656b6fb7aba0f
train,trainval,Abyssinian_190,1,1,1,f604860a03a5e8529e71e15b969e012450baa3068c1cfa784893eb19049202c3
train,trainval,Abyssinian_167,1,1,1,f79cf11897cf63036b2179aa3b64ed65f8dcfaf87c427d00f27bad928ae87a1d
train,trainval,Abyssinian_182,1,1,1,fafde73692a2eaf860ecaf63ad490bef073a10beafcac3e89cae418c0e07cd1f
train,trainval,Abyssinian_126,1,1,1,fc3053af0e9a18b4fe7570dfe54b62f1791250ece82ed0163ec637b0833d637c
train,trainval,Abyssinian_101,1,1,1,fc9e1b2f5eb4cbc17f3b3ccd9971c046c6b4faa38555a6bbf09ec28ade678c4b
train,trainval,Abyssinian_18,1,1,1,ff3311a5bca7e275ac79bb0f0c49d105c2d992b5bf09903865a9e71aeddf71fb
train,trainval,american_bulldog_194,2,2,1,8421638c4ffe29f07bef36acc9626781f9e7ed7c163de437b3fbf324d984e828
train,trainval,american_bulldog_128,2,2,1,85a3bf977e9e370deec10cb80fcecf8275dc2b4aa381b140c4dd0b600621bb83
train,trainval,american_bulldog_117,2,2,1,867effcbe06792e6e7c6184d95ffd39b2b426721691c94db709793d68c09adc6
train,trainval,american_bulldog_135,2,2,1,8a8687f45b0dab14bef13a1f390dd1b4e39d281cf402f1f94d22d12a6bb1a56b
train,trainval,american_bulldog_121,2,2,1,8c71fc278e5dee6fa9d8ba5a25595f48ada135eaa3baf10c3cd256954cc6b6bc
train,trainval,american_bulldog_12,2,2,1,8c7485844a833e611815cf2347fdf151c28835b50ff61de2486d38052939eca3
train,trainval,american_bulldog_112,2,2,1,8f05191956292e8745e3580f3c74ca637aafdc42ac3b174a513ef8945ff2625f
train,trainval,american_bulldog_197,2,2,1,9066861d25c823bb24284b34179fe183134d1359255615f9b1462ccd7150de0a
train,trainval,american_bulldog_125,2,2,1,90dc64c2468d02c58820c734383eb49502ccc9cf7e9ffec3c0817f0a444226a7
train,trainval,american_bulldog_111,2,2,1,923f09d32f9e8c1f54b8b22557fb19f108fcd88b8c3a09e012ae7ad76070975f
train,trainval,american_bulldog_166,2,2,1,92c0556a6e17a357d1708f74c25b73417cba2f382de27bad38b223347fb547ae
train,trainval,american_bulldog_108,2,2,1,9667a21de065a68b9e94a08ef43bd2d69d165d2a49140eea1ff553f50edfefbc
train,trainval,american_bulldog_180,2,2,1,9d82f91be01d627116ecf5539d8244e48425db1b530360f733b2aef03ed77fb7
train,trainval,american_bulldog_177,2,2,1,9f9eb7473dc57e9c3f29e5be7b05dbda2aa2fab0ea4d3b9420b6c4b8bb203b0c
train,trainval,american_bulldog_146,2,2,1,a070e1646653f385b706434a132927e0c0ff14d3326fc972f5f30878c3cb518d
train,trainval,american_bulldog_149,2,2,1,a2fd2c92cb358e3a8fbba727bf32c0c4511d19c9a70956dd6d7f714c23387aa1
train,trainval,american_bulldog_133,2,2,1,a37ad5e0dc9d2b8aee6458e4c7825e5a07b43c0a27cd2bccf3d744561e90dd52
train,trainval,american_bulldog_183,2,2,1,a456d79dc5dd8cbdcfeb4ac4321f4181059d02d3897c39ba9ec0d97dff631c0b
train,trainval,american_bulldog_101,2,2,1,ab75f1ab2b948b39022929f80624614c1cf33f90938e6fca8f0ebf04e7d260e2
train,trainval,american_bulldog_178,2,2,1,ae8e0a6ca368d318ac1864ce32f7a75990f8bfbac9f8dcfe4f5284723c8bd08d
train,trainval,american_bulldog_13,2,2,1,b2a7256236ecc0a47e21ce079723d97f387b15f748447d3d76790e2d9daff411
train,trainval,american_bulldog_175,2,2,1,b4420242ff4c995b4d89a6d9e1b496fa80258b8d0595f0fb6eca5a8e588d77af
train,trainval,american_bulldog_168,2,2,1,b49d0661bb5d2c59466a3de379c922a954d682b43b2bf12841d934587b9a444a
train,trainval,american_bulldog_179,2,2,1,b503b33efa3ad2fef0f7804412b99ed450ef5224278fa9bf5a16e20449718a63
train,trainval,american_bulldog_15,2,2,1,bc7003bff7878d318de285b86bd881148650c00d10f0224a0a9bc3a0292d0dd8
train,trainval,american_bulldog_164,2,2,1,bd2ee26ee8be58683f8a11e5110bf0674ffaf78c35a1e5825b082f5464d392b3
train,trainval,american_bulldog_106,2,2,1,bd3446b621a72e63fcf9b5a95bfd71f1bc9d083ba192b3ece8802cc809be56e4
train,trainval,american_bulldog_189,2,2,1,bd838dbe6d436d1e895964a5a0d03ed5b4463014b00a432e1a4868d1d2a1fb24
train,trainval,american_bulldog_196,2,2,1,be70d12f96ad9f5d069c2918a9d8074ffbbd8d71b478410490d0fa4b1fc5b385
train,trainval,american_bulldog_200,2,2,1,c34c4f6991866ad7d075cda27d5ead2a13e71e20d5ee28fe49d87313cf2e2fa1
train,trainval,american_bulldog_184,2,2,1,ce3aede2ac9622d21c616ebedb0ee53b32f9c131dc637de67e6a1170ae20416e
train,trainval,american_bulldog_142,2,2,1,cf049e6505baf5a8f67d44668d1de1e2bf4e1f40cef0e43dce73acce2fc8abac
train,trainval,american_bulldog_110,2,2,1,d02677108d69bcbc404c4a21e631dfe9350072b2c73d4fa57a172de8f05e71b1
train,trainval,american_bulldog_113,2,2,1,d026d9d718e7ba4af3fce274ee0de745f816b7b4a0a369eecdc55ea62faca25d
train,trainval,american_bulldog_10,2,2,1,d0979caa3e0b11a0e89c163149dc8b8dbfe87645a0b3512e7befd5656a31da83
train,trainval,american_bulldog_139,2,2,1,d2d9c20472424f58f96f0b671c9bcb012e0208761706973bba607c69125b90ce
train,trainval,american_bulldog_114,2,2,1,d3674391a9944a897b693b38217354c72834216840b66ea30ea743a563044131
train,trainval,american_bulldog_144,2,2,1,d5c7d14cb917376f92002a8a13eaa30f9a4f18fd21da048e228db53f1cf2c78e
train,trainval,american_bulldog_199,2,2,1,ddc52fb73f4c336ca5b2ced6e10f42bf9f8e144b178d470b9b128844f2ded94c
train,trainval,american_bulldog_192,2,2,1,ddd6cda0ea2d9080027d8b2939bd76226681dc6eefc6f83fb5d202a3aa659b2a
train,trainval,american_bulldog_152,2,2,1,e016202421660f723e0e40e9df0b5cad8022cb6b33351b113a837a73974f8c0f
train,trainval,american_bulldog_120,2,2,1,e248609bba79b7c7cc295568785500523246f585d5a5d95a668f1e937438d3fd
train,trainval,american_bulldog_127,2,2,1,e5539eecfaa3f7c7a3f60b444573be683e6f683c7743eb9ee7d14de1fcbe65bf
train,trainval,american_bulldog_147,2,2,1,e893942e01b4e911e16d712c54d13f9d6d93ec0650a57146f344738602ca0a45
train,trainval,american_bulldog_148,2,2,1,f0c1010680574769b98384a5fa9a32376d56695d546c2f2a41f1f5a67260ed4c
train,trainval,american_bulldog_118,2,2,1,f193456c1b90d2cef94a84e995859f38b6861f10024df5163e924b8773582232
train,trainval,american_bulldog_102,2,2,1,f58b2bc54ebe93eb8b4f44e87b40cd76faf6ceb7050e0f560032abc95c2d8c61
train,trainval,american_bulldog_174,2,2,1,fd9031acbcef6b024c84210a417488ccbb525f667647b2ae37a486b71db1ae44
train,trainval,american_bulldog_129,2,2,1,fdd3bd02860c9c0d4e5e7a6993993b32b120d2f691680122445c0a4be5c84d9b
train,trainval,american_bulldog_201,2,2,1,fdf61c12ad5e50d747859d8b03cf5c7c4707e1cc28e2b6142159b8f9c8e6d6a3
train,trainval,american_pit_bull_terrier_16,3,2,2,8fe6cb7e78c4a8d0fd1fc1bd8de885a5b92d1faef131181c0d775ece4cae1aa6
train,trainval,american_pit_bull_terrier_167,3,2,2,95037a4d913e42c4b75b695e4b8cc36a5165c9f248905975772e1356fa48f377
train,trainval,american_pit_bull_terrier_169,3,2,2,95989e798455936451ec9b8df1c5292b6a8a9321542e63dca5e7c497e592c745
train,trainval,american_pit_bull_terrier_142,3,2,2,962f1a00894bd7eccf93a01fa71b02ec15a567be64899a59b1772fe43c96458a
train,trainval,american_pit_bull_terrier_107,3,2,2,9ac04557a8b4597fca2661ae955f0fc6d847437c168d45b8d144b62923990756
train,trainval,american_pit_bull_terrier_114,3,2,2,9b54f2716873ccd643ad9a7662ac7264e3604266963e7fc6fc916d0f96bd0254
train,trainval,american_pit_bull_terrier_151,3,2,2,9c41e4785e86c74fa465e3edd581744e7e1c5d3bfb9ef3e0f6268145008b3936
train,trainval,american_pit_bull_terrier_182,3,2,2,9e7ef46ee3496949ed25efaf922af55a838588b57d4b5356cdeea525a7aeb706
train,trainval,american_pit_bull_terrier_139,3,2,2,a28389e0b86beddf83a3d39bd3637cc883b0b5cdf1f6358558a65ca3cdf4cd6c
train,trainval,american_pit_bull_terrier_156,3,2,2,a2ee604800eb230a94bba3a7005c79777f7a42ac6d7a4743bf81b58f3b03f499
train,trainval,american_pit_bull_terrier_178,3,2,2,a4c1438895cadd496a6ed725ee26cb776f9eeb2191896e4f8ef412dfc845e811
train,trainval,american_pit_bull_terrier_171,3,2,2,a5c48a7bd233e61cec0e7f50756fc01803f4d09f734a2817abb6302dc02c3ff0
train,trainval,american_pit_bull_terrier_160,3,2,2,a61e802752caf6c180ae4a18bf498ed8bdde4014d14cd6fbe33d9828d22408e5
train,trainval,american_pit_bull_terrier_13,3,2,2,a640771ab97c87dca67c6f49c9d015846adaf39f74b073967a7a1c9d6fa92544
train,trainval,american_pit_bull_terrier_101,3,2,2,aae7264865c55f8ced163fafbab35ce78f04b301d0f530180dca8ba3372b5df3
train,trainval,american_pit_bull_terrier_106,3,2,2,ae4b31a66ac18d3c2e28418bbce012c1f8e6a759911a92ed2555e322eddaa091
train,trainval,american_pit_bull_terrier_143,3,2,2,b8febc62e194586f8ff25df24c719b4850f1223f95c3039a92600847958f4097
train,trainval,american_pit_bull_terrier_108,3,2,2,b9833b82f50303c0991cafc7086466f68c6325e8f73778a3cbb01d62549f608e
train,trainval,american_pit_bull_terrier_147,3,2,2,bcdaf389e399461b96df3e8e81b7eb4a7650d39b8c44ce3e0580ebbdaa611396
train,trainval,american_pit_bull_terrier_116,3,2,2,bce57bbe61f4d926b66c83ccfe56f309615055f287b1b0cf58fc1e697e59696e
train,trainval,american_pit_bull_terrier_10,3,2,2,bd1b2b5f68141fa2e40cb108603cbbff8b6dfe68a7f23b071c901688b8552ff6
train,trainval,american_pit_bull_terrier_173,3,2,2,c032cb856202bfff55d46ddf232d9152c0347bd11ee9a035b1f666096316b448
train,trainval,american_pit_bull_terrier_161,3,2,2,c1446ff575b2d4d364d35ca78891c4b518224aa78df39cefb8247f54edcfe18e
train,trainval,american_pit_bull_terrier_150,3,2,2,c8f2bc5f9aef696b4dfb0da3331f930b0af00d9467a4f6da8c0d69473d00cc2f
train,trainval,american_pit_bull_terrier_148,3,2,2,cae6a1aaee463e14daa8bceb10fc2a735733858244d1efcf2cc80b8891c7dc0c
train,trainval,american_pit_bull_terrier_113,3,2,2,cc3d86d5c680784837d2fa82b2d12cce7657dd4b8614bcf7d9bf9a93b323e9e9
train,trainval,american_pit_bull_terrier_119,3,2,2,cc56b8a20679ce4ee7916e389a87326baf634e8adece339912c6e2af452c5bb5
train,trainval,american_pit_bull_terrier_112,3,2,2,d13ca58d03540dc097744e776e1a7613d9e44d6def23c553896fbf8dc5cd5eed
train,trainval,american_pit_bull_terrier_149,3,2,2,d16d57320be5085e2dbabc1c651e087c809189fbcf98ccc60d2a0ef88d04eb08
train,trainval,american_pit_bull_terrier_155,3,2,2,d2510b4ec4f558feccda21958bf4a9fd1b25894ed8d16556cc2cae396a2d108a
