analysis_split,image_id,class_id,native_h,native_w,native_beta0,native_beta1,resized_beta0,resized_beta1,native_foreground_fraction,resized_foreground_fraction,topology_preserved
train,Abyssinian_145,1,577,800,1,0,1,0,0.227781629,0.162658691,1
train,Abyssinian_146,1,500,333,1,0,1,0,0.482972973,0.3203125,1
train,Abyssinian_105,1,375,500,1,0,1,0,0.213674667,0.160583496,1
train,Abyssinian_123,1,333,500,1,0,1,0,0.329387387,0.218200684,1
train,Abyssinian_172,1,712,768,1,0,1,0,0.395955861,0.368896484,1
train,Abyssinian_128,1,375,500,1,0,1,0,0.273536,0.204650879,1
train,Abyssinian_176,1,467,400,1,0,1,0,0.46503212,0.399475098,1
train,Abyssinian_136,1,500,333,1,0,1,0,0.421267267,0.280334473,1
train,Abyssinian_125,1,359,500,1,0,1,0,0.281977716,0.202148438,1
train,Abyssinian_19,1,352,400,1,0,1,0,0.402890625,0.356628418,1
train,Abyssinian_12,1,500,335,1,0,1,0,0.26280597,0.17590332,1
train,Abyssinian_138,1,333,500,1,0,1,0,0.367273273,0.243652344,1
train,Abyssinian_158,1,375,500,1,0,1,0,0.364362667,0.273681641,1
train,Abyssinian_16,1,335,500,1,1,1,0,0.288573134,0.194702148,0
train,Abyssinian_195,1,300,177,1,1,1,0,0.788079096,0.467407227,0
train,Abyssinian_130,1,500,333,2,1,1,0,0.370702703,0.246520996,0
train,Abyssinian_13,1,280,245,1,0,1,0,0.406982507,0.355773926,1
train,Abyssinian_134,1,440,500,1,0,1,1,0.543845455,0.479675293,0
train,Abyssinian_179,1,360,263,1,0,1,0,0.411121673,0.301208496,1
train,Abyssinian_116,1,500,333,1,0,1,0,0.519327327,0.344726562,1
train,Abyssinian_159,1,201,305,1,0,1,0,0.376119403,0.244995117,1
train,Abyssinian_151,1,233,350,1,0,1,0,0.189025138,0.125610352,1
train,Abyssinian_170,1,1200,1600,1,3,1,1,0.211871354,0.159179688,0
train,Abyssinian_149,1,375,500,1,0,1,0,0.3604,0.270202637,1
train,Abyssinian_139,1,333,500,1,0,1,0,0.239525526,0.158935547,1
