sequence,Action-coordinate selector,Direct-output sampled,Direct-output selector,Input segmentation,Oracle (diagnostic),Validation best,delta_Validation best_minus_input,delta_Action-coordinate selector_minus_input,delta_Direct-output selector_minus_input,delta_Direct-output sampled_minus_input
blackswan,0.180306684,0.202978182,0.204725088,0.278116605,0.145499862,0.173007426,-0.105109179,-0.0978099209,-0.0733915176,-0.0751384228
bmx-trees,0.564549421,0.566826612,0.566167668,0.554983529,0.533182201,0.574562293,0.0195787639,0.00956589169,0.0111841386,0.0118430829
breakdance,0.358427094,0.361541904,0.361891667,0.462618764,0.320773379,0.35968313,-0.102935633,-0.104191669,-0.100727097,-0.10107686
camel,0.185530564,0.191655305,0.192333022,0.267518645,0.162578282,0.200673984,-0.0668446608,-0.0819880804,-0.0751856226,-0.07586334
car-roundabout,0.20958186,0.209304535,0.207720323,0.300422049,0.17472356,0.224067779,-0.0763542703,-0.0908401899,-0.0927017267,-0.0911175147
car-shadow,0.112563946,0.121470667,0.12162328,0.233074423,0.0868542108,0.109625302,-0.123449121,-0.120510478,-0.111451144,-0.111603757
cows,0.220080209,0.223390243,0.223178408,0.253113985,0.161246656,0.218784141,-0.0343298436,-0.0330337755,-0.029935577,-0.0297237416
dance-twirl,0.381606105,0.378856946,0.379431441,0.398962279,0.317048321,0.379795885,-0.0191663942,-0.017356174,-0.0195308375,-0.0201053329
dog,0.154038762,0.157648913,0.157936039,0.243675579,0.126585027,0.157598132,-0.0860774463,-0.0896368171,-0.0857395394,-0.0860266658
drift-chicane,0.193454003,0.196041706,0.196907563,0.258843103,0.16684525,0.193172151,-0.0656709517,-0.0653891002,-0.0619355399,-0.0628013967
drift-straight,0.229247163,0.239224883,0.240434211,0.354462653,0.194530216,0.238417379,-0.116045273,-0.12521549,-0.114028442,-0.11523777
goat,0.367608045,0.356640991,0.357033085,0.436473765,0.313567377,0.362587211,-0.073886554,-0.0688657198,-0.0794406795,-0.079832774
horsejump-high,0.28253257,0.28142556,0.280690567,0.306564727,0.242175008,0.288574429,-0.0179902982,-0.0240321567,-0.0258741603,-0.0251391674
kite-surf,0.50180884,0.50267839,0.502478831,0.480894561,0.456495236,0.498267008,0.0173724464,0.0209142784,0.0215842697,0.0217838286
libby,0.366328609,0.377055867,0.37731296,0.396267115,0.326676916,0.373956628,-0.022310487,-0.0299385062,-0.0189541551,-0.0192112477
motocross-jump,0.45919189,0.459412526,0.458490862,0.46070429,0.414691252,0.45942223,-0.0012820595,-0.00151239955,-0.00221342755,-0.00129176382
paragliding-launch,0.418113729,0.421582663,0.42128113,0.412381636,0.397680551,0.417369404,0.00498776741,0.00573209261,0.00889949423,0.00920102736
parkour,0.294569419,0.295162899,0.295300908,0.361929834,0.266763296,0.302790909,-0.059138925,-0.0673604155,-0.0666289263,-0.0667669346
scooter-black,0.325874098,0.330073488,0.330410817,0.392460496,0.293796287,0.335447227,-0.0570132694,-0.0665863981,-0.0620496787,-0.0623870077
soapbox,0.337534186,0.333353014,0.332929414,0.363632695,0.298369897,0.340127115,-0.0235055804,-0.0260985094,-0.0307032811,-0.0302796811
