method,base_method,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f08
Action-coordinate selector,CVOS,0.342057279,0.0451584686,0.540629454,0.465920571,5.48385504,2.40522517,0.206086312,0.514637074
Action-coordinate selector,FST,0.270326681,0.0304266052,0.683995331,0.5538256,5.28840239,2.37695844,0.237031202,0.630372215
Action-coordinate selector,MSG,0.289691128,0.0398318067,0.634373904,0.531059998,5.29671689,2.40687096,0.266051588,0.591849765
Action-coordinate selector,NLC,0.293377959,0.0280260689,0.655135713,0.543493137,5.39225223,2.45747697,0.231216137,0.619609568
Action-coordinate selector,SAL,0.338590361,0.043512576,0.541778776,0.394771838,5.37620876,2.41072996,0.203908368,0.465463788
Action-coordinate selector,TRC,0.309366392,0.0285909067,0.587024016,0.471743349,5.3309836,2.39755339,0.258446486,0.560941633
Direct-output sampled,CVOS,0.347591081,0.0456057265,0.534168769,0.45710818,5.50632583,2.40604897,0.192194063,0.503308327
Direct-output sampled,FST,0.271646849,0.0304552363,0.681446401,0.551779149,5.27284183,2.33501237,0.246498751,0.623868739
Direct-output sampled,MSG,0.296371387,0.0401784427,0.627453444,0.522301398,5.3148558,2.40471374,0.237224056,0.583070557
Direct-output sampled,NLC,0.293970246,0.0290330929,0.652060827,0.538239201,5.34398242,2.46142663,0.217818917,0.614114696
Direct-output sampled,SAL,0.337698821,0.0438798712,0.540507485,0.393052702,5.31891681,2.38981639,0.213925297,0.461938521
Direct-output sampled,TRC,0.315087128,0.02887158,0.579851077,0.463988972,5.3423752,2.3991184,0.243990381,0.548990092
Direct-output selector,CVOS,0.347590411,0.0456238433,0.533805585,0.456596249,5.50689015,2.39638363,0.192716362,0.502700991
Direct-output selector,FST,0.272198291,0.0304746458,0.682137987,0.55247629,5.2695485,2.34290874,0.245712154,0.62504394
Direct-output selector,MSG,0.296865089,0.0402096872,0.627049743,0.521742986,5.31361557,2.40524327,0.236345239,0.582389728
Direct-output selector,NLC,0.293328081,0.0289926351,0.653395419,0.539507924,5.33587275,2.45558828,0.217173403,0.615776962
Direct-output selector,SAL,0.3372444,0.0438366212,0.541062831,0.393559445,5.31055472,2.39152224,0.216868897,0.463860738
Direct-output selector,TRC,0.315716475,0.0289274558,0.579133026,0.463009937,5.34293622,2.40042238,0.24337698,0.548296701
Input segmentation,CVOS,0.349050784,0.0451779669,0.540752522,0.466254316,5.4778726,2.39275448,0.187578305,0.520847856
Input segmentation,FST,0.355082779,0.030690481,0.685596706,0.553609236,5.87477529,2.44597581,0.0832466105,0.646518286
Input segmentation,MSG,0.295081529,0.0398372131,0.634410122,0.531116553,5.29454223,2.39749337,0.248236692,0.594216813
Input segmentation,NLC,0.408147237,0.0290797519,0.662316295,0.551382325,8.87051805,3.34513045,0.0317541625,0.648079314
Input segmentation,SAL,0.439171111,0.0446644472,0.541064631,0.392918756,6.66192642,2.45252396,0.0428402221,0.47991256
Input segmentation,TRC,0.31989068,0.0285860928,0.586381718,0.471255774,5.36602692,2.38660131,0.22222748,0.56418053
Oracle (diagnostic),CVOS,0.321622131,0.0448907362,0.543324428,0.469117113,5.38108275,2.19274833,0.292072336,0.517366882
Oracle (diagnostic),FST,0.205411918,0.0294169778,0.699080636,0.572702221,4.59607357,1.75420096,0.471398819,0.659294015
Oracle (diagnostic),MSG,0.282507408,0.0396185665,0.6365605,0.534023485,5.23342262,2.34603822,0.284190386,0.593825726
Oracle (diagnostic),NLC,0.228516079,0.0276185687,0.678011621,0.569140995,4.76896372,1.95147706,0.405039177,0.648082218
Oracle (diagnostic),SAL,0.284308728,0.0428344367,0.554838031,0.406721867,4.88806881,1.95792216,0.372304963,0.478850211
Oracle (diagnostic),TRC,0.297923204,0.0283024918,0.591035264,0.477721487,5.20411203,2.32895248,0.286042029,0.561423573
Validation best,CVOS,0.33984298,0.0451283925,0.541266261,0.466917767,5.46883538,2.4144019,0.223391754,0.519001415
Validation best,FST,0.271622715,0.0305514457,0.677877424,0.549600852,5.28840652,2.39748538,0.236916164,0.620280435
Validation best,MSG,0.291319012,0.0398534765,0.632642424,0.530112343,5.31616456,2.4049138,0.259434494,0.589297806
Validation best,NLC,0.299931748,0.0286245456,0.66258084,0.553945309,5.48466029,2.41488293,0.218482524,0.638049323
Validation best,SAL,0.34838978,0.0440287623,0.54399216,0.396367661,5.48528634,2.4202169,0.176499695,0.478961162
Validation best,TRC,0.311889952,0.0286243368,0.583656028,0.469554396,5.35101627,2.39399714,0.258613153,0.556201816
