metric,method,mean,std,count
loss,Action-coordinate selector,0.30714736,0.12252352,20
loss,Direct-output sampled,0.310316265,0.120035535,20
loss,Direct-output selector,0.310413864,0.119767239,20
loss,Input segmentation,0.360855037,0.0914156152,20
loss,Oracle (diagnostic),0.270004139,0.119589724,20
loss,Validation best,0.310396488,0.122286266,20
dice,Action-coordinate selector,0.607335094,0.151451598,20
dice,Direct-output sampled,0.602752168,0.151714203,20
dice,Direct-output selector,0.602933764,0.151377487,20
dice,Input segmentation,0.608606077,0.150081953,20
dice,Oracle (diagnostic),0.617314687,0.152226606,20
dice,Validation best,0.607175139,0.154929626,20
iou,Action-coordinate selector,0.493730419,0.146371401,20
iou,Direct-output sampled,0.487996681,0.145608842,20
iou,Direct-output selector,0.488065907,0.14522464,20
iou,Input segmentation,0.494692873,0.145173643,20
iou,Oracle (diagnostic),0.505167303,0.147842767,20
iou,Validation best,0.49467552,0.148524347,20
boundary_f08,Action-coordinate selector,0.564069997,0.131669405,20
boundary_f08,Direct-output sampled,0.556128037,0.129774596,20
boundary_f08,Direct-output selector,0.55658627,0.129576879,20
boundary_f08,Input segmentation,0.575876729,0.12875738,20
boundary_f08,Oracle (diagnostic),0.576730623,0.132811761,20
boundary_f08,Validation best,0.567192954,0.136770247,20
beta0_error,Action-coordinate selector,5.36130185,14.3423902,20
beta0_error,Direct-output sampled,5.34991971,14.3230333,20
beta0_error,Direct-output selector,5.34662002,14.3229292,20
beta0_error,Input segmentation,6.2564311,13.5649173,20
beta0_error,Oracle (diagnostic),5.01224922,14.01365,20
beta0_error,Validation best,5.39880964,14.3273452,20
beta1_error,Action-coordinate selector,2.40911601,3.02244019,20
beta1_error,Direct-output sampled,2.39935822,2.99048944,20
beta1_error,Direct-output selector,2.39867497,2.98584502,20
beta1_error,Input segmentation,2.57031424,2.61680295,20
beta1_error,Oracle (diagnostic),2.08889361,2.86201222,20
beta1_error,Validation best,2.40760369,3.03700973,20
topology_exact,Action-coordinate selector,0.233889211,0.2558739,20
topology_exact,Direct-output sampled,0.225325666,0.242576112,20
topology_exact,Direct-output selector,0.225407608,0.242572923,20
topology_exact,Input segmentation,0.136264034,0.144909061,20
topology_exact,Oracle (diagnostic),0.351806449,0.301978628,20
topology_exact,Validation best,0.229052479,0.256739564,20
