method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Input,57,component_dropout,0.0940525744,0.0291748047,0.946122633,0.897754011,1,0,0,0.890725436
Validation best,57,component_dropout,0.0940525744,0.0291748047,0.946122633,0.897754011,1,0,0,0.890725436
Action-coordinate selector,57,component_dropout,0.0940525744,0.0291748047,0.946122633,0.897754011,1,0,0,0.890725436
Direct-output selector,57,component_dropout,0.0958433845,0.0310791016,0.942597756,0.891433007,1,0,0,0.883122103
Input,72,component_dropout,0.0838383454,0.0142211914,0.964181399,0.930840012,1,0,0,0.917475728
Validation best,72,component_dropout,0.0838383454,0.0142211914,0.964181399,0.930840012,1,0,0,0.917475728
Action-coordinate selector,72,component_dropout,0.0838383454,0.0142211914,0.964181399,0.930840012,1,0,0,0.917475728
Direct-output selector,72,component_dropout,0.0850404304,0.0151855469,0.961658364,0.926150193,1,0,0,0.917475728
Input,138,component_dropout,0.0860736072,0.0193481445,0.961156721,0.925218212,1,0,0,0.893442623
Validation best,138,component_dropout,0.0860736072,0.0193481445,0.961156721,0.925218212,1,0,0,0.893442623
Action-coordinate selector,138,component_dropout,0.0860736072,0.0193481445,0.961156721,0.925218212,1,0,0,0.893442623
Direct-output selector,138,component_dropout,0.0867252144,0.0199829102,0.959845086,0.922790705,1,0,0,0.893139871
Input,139,component_dropout,0.0508788133,0.000793457031,0.998199695,0.996405861,1,0,0,0.984542212
Validation best,139,component_dropout,0.0508788133,0.000793457031,0.998199695,0.996405861,1,0,0,0.984542212
Action-coordinate selector,139,component_dropout,0.0508788133,0.000793457031,0.998199695,0.996405861,1,0,0,0.984542212
Direct-output selector,139,component_dropout,0.0527486139,0.00247802734,0.994367479,0.988798466,1,0,0,0.979680046
Input,153,component_dropout,0.127114889,0.0711669922,0.884462941,0.792858412,1,0,0,0.796
Validation best,153,component_dropout,0.127114889,0.0711669922,0.884462941,0.792858412,1,0,0,0.796
Action-coordinate selector,153,component_dropout,0.127114889,0.0711669922,0.884462941,0.792858412,1,0,0,0.796
Direct-output selector,153,component_dropout,0.127525815,0.0716186523,0.883661455,0.791573336,1,0,0,0.794058065
Input,171,component_dropout,0.0952290356,0.0399780273,0.948583091,0.902195013,1,0,0,0.904153355
Validation best,171,component_dropout,0.0952290356,0.0399780273,0.948583091,0.902195013,1,0,0,0.904153355
Action-coordinate selector,171,component_dropout,0.0952290356,0.0399780273,0.948583091,0.902195013,1,0,0,0.904153355
