method,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Action-coordinate selector,boundary_contract2,0.0494268373,0.0376381634,0.923351499,0.859210231,0.0267102753,0.142000545,0.893704007,0.982000129
Action-coordinate selector,boundary_expand2,0.0512363265,0.0359264674,0.93607545,0.880805989,0.0133551376,0.220768602,0.845189425,0.973657632
Action-coordinate selector,bridge_spur12,0.0116935194,0.00107712328,0.997500743,0.995024607,0.00163532298,0.151812483,0.899972745,0.979664547
Action-coordinate selector,clustered_fn08,0.220418754,0.0244618992,0.958973783,0.921188127,0.10248024,5.57339875,0.0297083674,0.769755422
Action-coordinate selector,clustered_fp03,0.233672084,0.0184723192,0.9573584,0.921718731,8.32782775,0.171327337,0.000545107659,0.789749548
Action-coordinate selector,fragment_cut2,0.126215766,0.00831355721,0.984582524,0.969722421,1.09097847,0.166148814,0.00545107659,0.873470645
Action-coordinate selector,holes2_r4,0.190713512,0.00592339121,0.986971466,0.974463166,0.00272553829,1.72297629,0.036794767,0.914714033
Action-coordinate selector,mixed_structured,0.412361458,0.0266031136,0.947986948,0.903287567,5.93088035,4.31398201,0,0.734856808
Action-coordinate selector,occlusion25,0.0889479163,0.0240254604,0.958337157,0.92027231,0.0834014718,0.392750068,0.588171164,0.912230307
Direct-output selector,boundary_contract2,0.0546093217,0.0382191103,0.921342854,0.856102478,0.0254020169,0.196293268,0.859580267,0.951037408
Direct-output selector,boundary_expand2,0.0507923985,0.0361019539,0.935807388,0.880361177,0.02562006,0.224529845,0.838484601,0.954673037
Direct-output selector,bridge_spur12,0.018392199,0.00175310136,0.995964799,0.992018324,0.0254020169,0.209157809,0.847042791,0.979708561
Direct-output selector,clustered_fn08,0.161252395,0.0193087786,0.96623904,0.934895266,0.041918779,1.73600436,0.233251567,0.836673354
Direct-output selector,clustered_fp03,0.170352172,0.00946992805,0.975150409,0.954693068,2.04306351,0.208176615,0.112019624,0.903314263
Direct-output selector,fragment_cut2,0.0206002564,0.00236053176,0.99480488,0.989746702,0.0363586808,0.215208504,0.83984737,0.982092961
Direct-output selector,holes2_r4,0.157688719,0.00756036442,0.982783714,0.966560526,0.0318342873,1.1594985,0.208994276,0.90946188
Direct-output selector,mixed_structured,0.204607066,0.0189025629,0.964020187,0.932082369,0.685309349,1.55170346,0.135350232,0.840281662
Direct-output selector,occlusion25,0.0710836997,0.0255866262,0.954642429,0.91359931,0.0576723903,0.345107659,0.684110112,0.89831692
Input,boundary_contract2,0.0508388222,0.0376354019,0.923367898,0.859233387,0.043063505,0.142000545,0.887980376,0.98230568
Input,boundary_expand2,0.0590969183,0.0359131758,0.936098858,0.880845753,0.0133551376,0.292995367,0.813028073,0.975057389
Input,bridge_spur12,0.00978722985,0.00105506479,0.997550327,0.995122848,0,0.0528754429,0.953120741,0.980612725
Input,clustered_fn08,0.238373545,0.0248116145,0.958413601,0.920154059,0.230035432,7.24502589,0.0141727991,0.760498076
Input,clustered_fp03,0.245794946,0.0206955093,0.952316878,0.912960915,14.374489,0.160534206,0,0.763400774
Input,fragment_cut2,0.118038237,0.00829347832,0.984632758,0.969818881,1.10738621,0.0278004906,0.00381575361,0.874413599
Input,holes2_r4,0.19902173,0.00590503908,0.987014938,0.974546357,0.00381575361,1.80893977,0.0106295993,0.915647194
Input,mixed_structured,0.422389218,0.0276963199,0.945706484,0.89925254,9.48187517,5.89152358,0,0.717863404
Input,occlusion25,0.0849653854,0.0240053815,0.958386813,0.92036302,0.0989370401,0.301989643,0.61351867,0.913272723
Validation best,boundary_contract2,0.0500905981,0.0376334389,0.923363669,0.859231609,0.023984737,0.152085037,0.885527392,0.981803022
Validation best,boundary_expand2,0.0508898063,0.0359346853,0.936061358,0.880782046,0.0139002453,0.222949032,0.845189425,0.97323105
Validation best,bridge_spur12,0.013533767,0.00109465696,0.997459989,0.994944039,0.00490596893,0.173344235,0.885527392,0.979019541
Validation best,clustered_fn08,0.211930108,0.0236756685,0.960321485,0.923682326,0.0768601799,4.38648133,0.0490596893,0.782939771
Validation best,clustered_fp03,0.232547072,0.017494133,0.958853275,0.924490865,6.86999182,0.18152085,0.00109021532,0.801636383
Validation best,fragment_cut2,0.126452188,0.00833784484,0.984525437,0.969612621,1.0749523,0.184791496,0.00681384573,0.872776514
Validation best,holes2_r4,0.189809702,0.00594060549,0.986929521,0.974383043,0.00626873808,1.71272826,0.0387026438,0.914083668
Validation best,mixed_structured,0.395268474,0.0242113772,0.952891314,0.912077061,3.49414009,3.19351322,0,0.766683686
Validation best,occlusion25,0.0892083277,0.0240479846,0.958281932,0.920172276,0.0771327337,0.406650313,0.586808395,0.911458871
