dataset,method,metric,n_images,mean
oxford_pet,Action-coordinate selector,loss,3669,0.0161947741
oxford_pet,Action-coordinate selector,mse,3669,0.00254199421
oxford_pet,Action-coordinate selector,dice,3669,0.995139216
oxford_pet,Action-coordinate selector,iou,3669,0.990354593
oxford_pet,Action-coordinate selector,beta0_error,3669,0.0119378577
oxford_pet,Action-coordinate selector,beta1_error,3669,0.171381848
oxford_pet,Action-coordinate selector,topology_exact,3669,0.87689652
oxford_pet,Condition-aware fixed morphology,loss,3669,0.0157396501
oxford_pet,Condition-aware fixed morphology,mse,3669,0.00257525995
oxford_pet,Condition-aware fixed morphology,dice,3669,0.995077808
oxford_pet,Condition-aware fixed morphology,iou,3669,0.990233141
oxford_pet,Condition-aware fixed morphology,beta0_error,3669,0.0116289634
oxford_pet,Condition-aware fixed morphology,beta1_error,3669,0.171118379
oxford_pet,Condition-aware fixed morphology,topology_exact,3669,0.878304715
oxford_pet,Direct-output selector,loss,3669,0.0200574877
oxford_pet,Direct-output selector,mse,3669,0.00355136331
oxford_pet,Direct-output selector,dice,3669,0.992874588
oxford_pet,Direct-output selector,iou,3669,0.986269672
oxford_pet,Direct-output selector,beta0_error,3669,0.0235304806
oxford_pet,Direct-output selector,beta1_error,3669,0.207277187
oxford_pet,Direct-output selector,topology_exact,3669,0.849314073
oxford_pet,Empirical W3 operator,loss,3669,0.157085939
oxford_pet,Empirical W3 operator,mse,3669,0.00238618793
oxford_pet,Empirical W3 operator,dice,3669,0.994475781
oxford_pet,Empirical W3 operator,iou,3669,0.989890715
oxford_pet,Empirical W3 operator,beta0_error,3669,2.10756791
oxford_pet,Empirical W3 operator,beta1_error,3669,2.39788317
oxford_pet,Empirical W3 operator,topology_exact,3669,0.35263923
oxford_pet,Input,loss,3669,0.448234161
oxford_pet,Input,mse,3669,0.0499967262
oxford_pet,Input,dice,3669,0.903729727
oxford_pet,Input,iou,3669,0.83355638
oxford_pet,Input,beta0_error,3669,392.292677
oxford_pet,Input,beta1_error,3669,201.790542
oxford_pet,Input,topology_exact,3669,0
oxford_pet,Oracle (diagnostic),loss,3669,0.00957664248
oxford_pet,Oracle (diagnostic),mse,3669,0.00246009054
oxford_pet,Oracle (diagnostic),dice,3669,0.995082114
oxford_pet,Oracle (diagnostic),iou,3669,0.990323083
oxford_pet,Oracle (diagnostic),beta0_error,3669,0.00640501499
oxford_pet,Oracle (diagnostic),beta1_error,3669,0.103252476
oxford_pet,Oracle (diagnostic),topology_exact,3669,0.92668302
oxford_pet,SoftMorph2 validation-selected,loss,3669,0.0975184445
oxford_pet,SoftMorph2 validation-selected,mse,3669,0.00444957767
oxford_pet,SoftMorph2 validation-selected,dice,3669,0.990195244
oxford_pet,SoftMorph2 validation-selected,iou,3669,0.981684696
oxford_pet,SoftMorph2 validation-selected,beta0_error,3669,4.26419551
