,identity,O_square2,O_square3,O_square4,O_square5,C_square3,OC_square3,CO_square3,C_square5,OC_square5,CO_square5,C_diamond1,OC_diamond1,CO_diamond1,C_diamond2,OC_diamond2,CO_diamond2,C_horizontal3,OC_horizontal3,CO_horizontal3,C_vertical3,OC_vertical3,CO_vertical3,O_diamond1,O_diamond2,O_horizontal3,O_vertical3,area_connected3,area_connected8,area_connected16,area_connected32
identity,512.0,16.0,2.0,1.0,1.0,232.0,2.0,2.0,232.0,1.0,1.0,358.0,2.0,2.0,351.0,1.0,1.0,343.0,8.0,8.0,343.0,8.0,8.0,2.0,1.0,8.0,8.0,346.0,10.0,1.0,1.0
O_square2,16.0,512.0,418.0,417.0,417.0,16.0,418.0,395.0,16.0,417.0,417.0,16.0,416.0,400.0,16.0,417.0,417.0,16.0,328.0,203.0,16.0,328.0,203.0,416.0,417.0,328.0,328.0,114.0,421.0,417.0,417.0
O_square3,2.0,418.0,512.0,511.0,511.0,2.0,512.0,481.0,2.0,511.0,511.0,2.0,496.0,480.0,2.0,511.0,511.0,2.0,344.0,217.0,2.0,344.0,217.0,496.0,511.0,344.0,344.0,100.0,503.0,511.0,511.0
O_square4,1.0,417.0,511.0,512.0,512.0,1.0,511.0,480.0,1.0,512.0,512.0,1.0,496.0,480.0,1.0,512.0,512.0,1.0,343.0,216.0,1.0,343.0,216.0,496.0,512.0,343.0,343.0,99.0,502.0,512.0,512.0
O_square5,1.0,417.0,511.0,512.0,512.0,1.0,511.0,480.0,1.0,512.0,512.0,1.0,496.0,480.0,1.0,512.0,512.0,1.0,343.0,216.0,1.0,343.0,216.0,496.0,512.0,343.0,343.0,99.0,502.0,512.0,512.0
C_square3,232.0,16.0,2.0,1.0,1.0,512.0,2.0,33.0,512.0,1.0,1.0,280.0,2.0,3.0,278.0,1.0,1.0,341.0,7.0,23.0,341.0,7.0,23.0,2.0,1.0,7.0,7.0,201.0,7.0,1.0,1.0
OC_square3,2.0,418.0,512.0,511.0,511.0,2.0,512.0,481.0,2.0,511.0,511.0,2.0,496.0,480.0,2.0,511.0,511.0,2.0,344.0,217.0,2.0,344.0,217.0,496.0,511.0,344.0,344.0,100.0,503.0,511.0,511.0
CO_square3,2.0,395.0,481.0,480.0,480.0,33.0,481.0,512.0,33.0,480.0,480.0,3.0,465.0,450.0,3.0,480.0,480.0,9.0,337.0,224.0,9.0,337.0,224.0,465.0,480.0,337.0,337.0,100.0,478.0,480.0,480.0
C_square5,232.0,16.0,2.0,1.0,1.0,512.0,2.0,33.0,512.0,1.0,1.0,280.0,2.0,3.0,278.0,1.0,1.0,341.0,7.0,23.0,341.0,7.0,23.0,2.0,1.0,7.0,7.0,201.0,7.0,1.0,1.0
OC_square5,1.0,417.0,511.0,512.0,512.0,1.0,511.0,480.0,1.0,512.0,512.0,1.0,496.0,480.0,1.0,512.0,512.0,1.0,343.0,216.0,1.0,343.0,216.0,496.0,512.0,343.0,343.0,99.0,502.0,512.0,512.0
CO_square5,1.0,417.0,511.0,512.0,512.0,1.0,511.0,480.0,1.0,512.0,512.0,1.0,496.0,480.0,1.0,512.0,512.0,1.0,343.0,216.0,1.0,343.0,216.0,496.0,512.0,343.0,343.0,99.0,502.0,512.0,512.0
C_diamond1,358.0,16.0,2.0,1.0,1.0,280.0,2.0,3.0,280.0,1.0,1.0,512.0,2.0,3.0,505.0,1.0,1.0,308.0,7.0,8.0,308.0,7.0,8.0,2.0,1.0,7.0,7.0,304.0,11.0,1.0,1.0
